Asset,Opportunity_Score,Allocation_Share_Pct,Allocation_KRW,Policy_First_Gold_KRW,Current_Invested_KRW,Current_Weight_Pct,Scenario_Invested_KRW,Scenario_Weight_Pct
Domestic_Equity,51.45,0.0,0,0,5268401,25.15,5268401,24.0
Foreign_Equity,48.9,0.0,0,0,3642255,17.38,3642255,16.59
Bond,49.26,0.0,0,0,10191685,48.64,10191685,46.43
Gold,60.2,100.0,1000000,1000000,1451631,6.93,2451631,11.17
